exchange,status,name,open_date,close_date,ipo_type,fetched_at
NSE,LIVE,LCC Projects Limited,,,MainBoard,2026-09-08T20:09:48.294361
NSE,LIVE,Karamtara Engineering Limited,,,MainBoard,2026-09-08T20:09:48.877454
NSE,LIVE,Asset Reconstruction Company (India) Limited,,,MainBoard,2026-09-08T20:09:49.380548
NSE,LIVE,Steamhouse India Limited,,,MainBoard,2026-09-08T20:09:49.845102
NSE,LIVE,Manipal Payment and Identity Solutions Limited,,,MainBoard,2026-09-08T20:09:50.681567
NSE,LIVE,Rentomojo Limited,,,MainBoard,2026-09-08T20:09:50.816797
NSE,LIVE,Prasol Chemicals Limited,,,MainBoard,2026-09-08T20:09:50.941098
NSE,LIVE,Glass Wall Systems (India) Limited,,,MainBoard,2026-09-08T20:09:51.067818
NSE,LIVE,Kanohar Electricals Limited,,,MainBoard,2026-09-08T20:09:51.202718
NSE,LIVE,Pranav Constructions Limited,,,MainBoard,2026-09-08T20:09:51.329491
NSE,UPCOMING,Veegaland Developers Limited,,,MainBoard,2026-09-08T20:09:51.464211
BSE,LIVE,AMTECH ESTERS LIMITED,2026-09-09,2026-09-11,SME,2026-09-08T20:45:00.716082
BSE,UPCOMING,RAKSAN TRANSFORMERS LIMITED,2026-09-10,2026-09-15,SME,2026-09-08T20:45:01.571033
BSE,UPCOMING,OM GALAXY LIMITED,2026-09-10,2026-09-15,SME,2026-09-08T20:45:02.423755
BSE,UPCOMING,Maharaja & Speedex India Limited,2026-09-10,2026-09-15,SME,2026-09-08T20:45:03.166168
BSE,UPCOMING,CENTURY BUSINESS MEDIA LIMITED,2026-09-11,2026-09-16,SME,2026-09-08T20:45:04.377410
NSE,UPCOMING,Manika Plastech Limited,2026-09-11,2026-09-16,MainBoard,2026-09-09T13:23:25.448316
BSE,UPCOMING,Shakti Polytarp Limited,2026-09-15,2026-09-17,SME,2026-09-09T17:32:36.277981
BSE,UPCOMING,INJECTO POLYMERS LIMITED,2026-09-11,2026-09-16,SME,2026-09-09T20:24:22.712128
BSE,UPCOMING,Vama Wovenfab Limited,2026-09-15,2026-09-17,SME,2026-09-10T14:48:36.316177
NSE,UPCOMING,Hero Motors Limited,2026-09-16,2026-09-17,MainBoard,2026-09-10T14:48:37.235868
BSE,UPCOMING,SONASELECTION INDIA LIMITED,2026-09-17,2026-09-21,MainBoard,2026-09-11T12:45:21.243504
NSE,UPCOMING,Jindal Supreme (India) Limited,2026-09-16,2026-09-18,MainBoard,2026-09-11T12:45:21.907518
NSE,UPCOMING,SS Retail Limited,2026-09-16,2026-09-18,MainBoard,2026-09-11T12:45:22.566910
BSE,UPCOMING,Jindal Supreme India Limited,2026-09-16,2026-09-18,MainBoard,2026-09-14T11:48:25.367594
BSE,UPCOMING,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,2026-09-17,2026-09-21,MainBoard,2026-09-14T11:48:25.824853
NSE,UPCOMING,Kheria Autocomp Limited,2026-09-17,2026-09-21,MainBoard,2026-09-15T11:04:03.752655
NSE,UPCOMING,SpectraA Technology Solutions Limited,2026-09-17,2026-09-21,MainBoard,2026-09-15T16:14:39.471487
BSE,UPCOMING,Vivekanand Cotspin Limited,2026-09-21,2026-09-23,SME,2026-09-16T17:57:24.583654
BSE,UPCOMING,ROBOKIDZ EDUVENTURES LIMITED,2026-09-21,2026-09-23,SME,2026-09-16T17:57:25.416324
BSE,UPCOMING,FX MULTITECH LIMITED,2026-09-21,2026-09-23,SME,2026-09-16T17:57:25.995008
